text,rating
El tablet es estándar. Cumple su función básica sin más.,3
"El teléfono es excelente. Muy contento con la compra, lo recomiendo totalmente.",5
"El audífonos es lento. Devolveré el producto, mala experiencia.",1
"El laptop es bonito. Muy contento con la compra, lo recomiendo totalmente.",5
"El reloj es rápido. Muy contento con la compra, lo recomiendo totalmente.",5
"El laptop es malo. Devolveré el producto, mala experiencia.",1
"El audífonos es recomiendo. Muy contento con la compra, lo recomiendo totalmente.",5
"El teléfono es rápido. Muy contento con la compra, lo recomiendo totalmente.",5
"El laptop es recomiendo. Muy contento con la compra, lo recomiendo totalmente.",5
"El teléfono es excelente. Muy contento con la compra, lo recomiendo totalmente.",5
"El audífonos es recomiendo. Muy contento con la compra, lo recomiendo totalmente.",5
"El laptop es malo. Devolveré el producto, mala experiencia.",1
El laptop es cumple. Cumple su función básica sin más.,3
"El reloj es bonito. Muy contento con la compra, lo recomiendo totalmente.",5
"El reloj es rápido. Muy contento con la compra, lo recomiendo totalmente.",5
"El reloj es feo. Devolveré el producto, mala experiencia.",1
"El teléfono es no recomiendo. Devolveré el producto, mala experiencia.",1
"El laptop es recomiendo. Muy contento con la compra, lo recomiendo totalmente.",5
"El laptop es frágil. Devolveré el producto, mala experiencia.",1
"El reloj es bonito. Muy contento con la compra, lo recomiendo totalmente.",5
"El teléfono es lento. Devolveré el producto, mala experiencia.",1
"El laptop es rápido. Muy contento con la compra, lo recomiendo totalmente.",5
"El teléfono es lento. Devolveré el producto, mala experiencia.",1
"El teléfono es duradero. Muy contento con la compra, lo recomiendo totalmente.",5
"El reloj es bonito. Muy contento con la compra, lo recomiendo totalmente.",5
"El laptop es malo. Devolveré el producto, mala experiencia.",1
"El audífonos es excelente. Muy contento con la compra, lo recomiendo totalmente.",5
"El audífonos es feo. Devolveré el producto, mala experiencia.",1
"El audífonos es rápido. Muy contento con la compra, lo recomiendo totalmente.",5
El reloj es básico. Cumple su función básica sin más.,3
"El laptop es excelente. Muy contento con la compra, lo recomiendo totalmente.",5
"El laptop es recomiendo. Muy contento con la compra, lo recomiendo totalmente.",5
"El laptop es frágil. Devolveré el producto, mala experiencia.",1
"El tablet es lento. Devolveré el producto, mala experiencia.",1
"El audífonos es rápido. Muy contento con la compra, lo recomiendo totalmente.",5
"El reloj es feo. Devolveré el producto, mala experiencia.",1
"El teléfono es excelente. Muy contento con la compra, lo recomiendo totalmente.",5
"El tablet es rápido. Muy contento con la compra, lo recomiendo totalmente.",5
"El laptop es recomiendo. Muy contento con la compra, lo recomiendo totalmente.",5
"El laptop es duradero. Muy contento con la compra, lo recomiendo totalmente.",5
"El audífonos es excelente. Muy contento con la compra, lo recomiendo totalmente.",5
"El teléfono es duradero. Muy contento con la compra, lo recomiendo totalmente.",5
"El teléfono es excelente. Muy contento con la compra, lo recomiendo totalmente.",5
"El reloj es excelente. Muy contento con la compra, lo recomiendo totalmente.",5
"El audífonos es lento. Devolveré el producto, mala experiencia.",1
